PS D:\python\NES emulator> python -m cProfile -s tottime NESemupy.py
pygame-ce 2.5.6 (SDL 2.32.10, Python 3.11.9)
enter path to the .nes file: SMB.py
error: file not found
enter path to the .nes file: SMB.nes
successfully loaded the ROM file
PRG banks: 2 (32KB)
CHR banks: 1
reset vector: $8000
have fun playing an NES game on python!
executed 29829 CPU instructions in 1.3060 seconds.
executed 29829 CPU instructions in 1.3437 seconds.
executed 29829 CPU instructions in 0.9173 seconds.
executed 29829 CPU instructions in 0.8122 seconds.
executed 29829 CPU instructions in 1.0228 seconds.
executed 29829 CPU instructions in 1.0053 seconds.
executed 29829 CPU instructions in 1.0235 seconds.
executed 29829 CPU instructions in 1.0537 seconds.
executed 29829 CPU instructions in 0.9144 seconds.
executed 29829 CPU instructions in 0.9242 seconds.
executed 29829 CPU instructions in 0.9034 seconds.
executed 29829 CPU instructions in 1.2570 seconds.
executed 29829 CPU instructions in 1.2611 seconds.
executed 29829 CPU instructions in 1.2564 seconds.
executed 29829 CPU instructions in 1.2522 seconds.
executed 29829 CPU instructions in 1.2405 seconds.
executed 29829 CPU instructions in 1.2497 seconds.
executed 29829 CPU instructions in 1.2495 seconds.
executed 29829 CPU instructions in 1.2681 seconds.
executed 29829 CPU instructions in 1.2655 seconds.

press enter to exit
         55598248 function calls (55595210 primitive calls) in 36.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3   12.687    4.229   12.687    4.229 {built-in method builtins.input}
   604138   11.691    0.000   22.965    0.000 NESemupy.py:1875(step_cpu)
 46552627    6.800    0.000    6.800    0.000 NESemupy.py:1864(isoc)
  1621395    0.723    0.000    0.771    0.000 NESemupy.py:238(cpu_read)
1171154/1171153    0.545    0.000    0.744    0.000 NESemupy.py:336(inc_PC)
   282378    0.488    0.000    1.154    0.000 NESemupy.py:348(addr_abs)
   604137    0.337    0.000    0.337    0.000 NESemupy.py:94(get_p)
  1614907    0.274    0.000    0.274    0.000 NESemupy.py:187(b16)
       21    0.270    0.013    0.270    0.013 {built-in method pygame.event.get}
   604137    0.270    0.000    0.354    0.000 NESemupy.py:321(update_ppu_timers)
       21    0.202    0.010   45.651    2.174 NESemupy.py:2154(step_forward)
   124745    0.141    0.000    0.193    0.000 NESemupy.py:466(jmpoffset_8bitsigned)
   294587    0.136    0.000    0.186    0.000 NESemupy.py:340(ginc_PC)
   170250    0.123    0.000    0.842    0.000 NESemupy.py:929(JMP_ABS)
   480226    0.119    0.000    0.119    0.000 NESemupy.py:344(inc_cycle)
        1    0.119    0.119    0.121    0.121 {built-in method pygame.base.init}
    95649    0.113    0.000    0.364    0.000 NESemupy.py:1392(BEQ)
    96102    0.113    0.000    0.248    0.000 NESemupy.py:827(AND_IMM)
   274838    0.100    0.000    0.100    0.000 NESemupy.py:461(update_Z_and_N)
   115977    0.092    0.000    0.252    0.000 NESemupy.py:568(LDA)
   101766    0.079    0.000    0.731    0.000 NESemupy.py:1197(LDA_ABS)
    99658    0.047    0.000    0.047    0.000 NESemupy.py:190(ppu_read)
       48    0.046    0.001    0.084    0.002 NESemupy.py:299(render_frame)
      148    0.040    0.000    0.040    0.000 {built-in method io.open_code}
    46/41    0.036    0.001    0.047    0.001 {built-in method _imp.create_dynamic}
      770    0.035    0.000    0.035    0.000 {built-in method nt.stat}
   170430    0.032    0.000    0.032    0.000 NESemupy.py:540(JMP)
        1    0.030    0.030    0.037    0.037 {built-in method pygame.display.set_mode}
    10451    0.030    0.000    0.055    0.000 NESemupy.py:407(addr_indY)
    22089    0.027    0.000    0.084    0.000 NESemupy.py:1306(BNE)
        1    0.022    0.022    0.022    0.022 NESemupy.py:171(pre_decode_chr)
      148    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
    30853    0.019    0.000    0.027    0.000 NESemupy.py:261(cpu_write)
   100980    0.019    0.000    0.019    0.000 NESemupy.py:184(b8)
    15554    0.017    0.000    0.039    0.000 NESemupy.py:421(addr_zp)
     6893    0.017    0.000    0.035    0.000 NESemupy.py:356(addr_absX)
       48    0.016    0.000    0.016    0.000 {built-in method pygame.transform.scale}
     7187    0.014    0.000    0.023    0.000 NESemupy.py:591(CPX)
     7315    0.014    0.000    0.023    0.000 NESemupy.py:599(CPY)
    11080    0.014    0.000    0.023    0.000 NESemupy.py:1084(DEY)
    23241    0.013    0.000    0.037    0.000 NESemupy.py:553(STA)
     5136    0.013    0.000    0.026    0.000 NESemupy.py:369(addr_absY)
     1580    0.011    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      151    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
       48    0.009    0.000    0.009    0.000 {built-in method pygame.display.flip}
     7128    0.008    0.000    0.027    0.000 NESemupy.py:760(BPL)
     5760    0.007    0.000    0.012    0.000 NESemupy.py:1276(INY)
     7484    0.007    0.000    0.007    0.000 NESemupy.py:212(ppu_write)
     8089    0.007    0.000    0.061    0.000 NESemupy.py:1100(STA_ABS)
       27    0.007    0.000    0.007    0.000 {built-in method builtins.print}
     7187    0.006    0.000    0.034    0.000 NESemupy.py:1343(CPX_IMM)
     7315    0.006    0.000    0.034    0.000 NESemupy.py:1254(CPY_IMM)
     5965    0.005    0.000    0.043    0.000 NESemupy.py:1115(STA_IND_Y)
        1    0.005    0.005   11.526   11.526 NESemupy.py:107(load_rom)
  312/308    0.004    0.000    0.010    0.000 {built-in method builtins.__build_class__}
     3515    0.004    0.000    0.007    0.000 NESemupy.py:1287(DEX)
     4486    0.004    0.000    0.035    0.000 NESemupy.py:1211(LDA_IND_Y)
     4622    0.004    0.000    0.020    0.000 NESemupy.py:1076(STA_ZP)
     3870    0.004    0.000    0.010    0.000 NESemupy.py:1205(BCS)
      349    0.004    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
    46/40    0.004    0.000    0.018    0.000 {built-in method _imp.exec_dynamic}
     4124    0.004    0.000    0.032    0.000 NESemupy.py:1246(LDA_ABS_X)
     3553    0.004    0.000    0.006    0.000 NESemupy.py:745(ASL_A)
     1702    0.004    0.000    0.007    0.000 NESemupy.py:625(INC)
     1929    0.004    0.000    0.006    0.000 NESemupy.py:583(CMP)
       96    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      310    0.003    0.000    0.003    0.000 {built-in method numpy.array}
       48    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1517    0.003    0.000    0.004    0.000 NESemupy.py:544(ADC)
     2689    0.003    0.000    0.004    0.000 NESemupy.py:442(stack_push)
     2047    0.003    0.000    0.004    0.000 NESemupy.py:1365(INX)
     2767    0.003    0.000    0.004    0.000 NESemupy.py:451(stack_pull)
     5643    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
     2316    0.002    0.000    0.004    0.000 NESemupy.py:834(ROL_A)
     1799    0.002    0.000    0.007    0.000 NESemupy.py:1108(BCC)
      149    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
       48    0.002    0.000    0.002    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
      216    0.002    0.000    0.060    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
    217/6    0.002    0.000    0.281    0.047 <frozen importlib._bootstrap>:1165(_find_and_load)
      961    0.002    0.000    0.004    0.000 NESemupy.py:530(LSR)
     2502    0.002    0.000    0.017    0.000 NESemupy.py:1146(STA_ABS_X)
    155/0    0.002    0.000    0.000          {built-in method builtins.exec}
     2344    0.002    0.000    0.018    0.000 NESemupy.py:1232(LDA_ABS_Y)
      148    0.002    0.000    0.088    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
    12620    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
    92/35    0.002    0.000    0.005    0.000 _parser.py:516(_parse)
       17    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
     1564    0.002    0.000    0.013    0.000 NESemupy.py:1360(INC_ZP)
     2144    0.002    0.000    0.003    0.000 NESemupy.py:1176(TAY)
      342    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
     2196    0.002    0.000    0.004    0.000 NESemupy.py:573(LDX)
     2063    0.002    0.000    0.014    0.000 NESemupy.py:1137(STA_ABS_Y)
      971    0.002    0.000    0.011    0.000 NESemupy.py:798(JSR)
     2362    0.002    0.000    0.003    0.000 NESemupy.py:923(LSR_A)
      695    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
     1941    0.002    0.000    0.003    0.000 NESemupy.py:578(LDY)
      695    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     6950    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1822    0.002    0.000    0.009    0.000 NESemupy.py:1168(LDA_ZP)
      971    0.002    0.000    0.005    0.000 NESemupy.py:447(stack_push_16)
     1580    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
     5656    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
8944/8756    0.001    0.000    0.002    0.000 {built-in method builtins.len}
      297    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       17    0.001    0.000    0.546    0.032 __init__.py:1(<module>)
     1107    0.001    0.000    0.004    0.000 NESemupy.py:999(PLA)
     6409    0.001    0.000    0.001    0.000 NESemupy.py:479(pgcoff)
     1443    0.001    0.000    0.007    0.000 NESemupy.py:1282(CMP_IMM)
      586    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
    215/4    0.001    0.000    0.281    0.070 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     1435    0.001    0.000    0.005    0.000 NESemupy.py:1182(LDA_IMM)
     1405    0.001    0.000    0.007    0.000 NESemupy.py:1172(LDX_ZP)
      505    0.001    0.000    0.002    0.000 NESemupy.py:513(ROL)
      960    0.001    0.000    0.008    0.000 NESemupy.py:906(LSR_ZP)
      695    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     6182    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1417    0.001    0.000    0.002    0.000 typing.py:1320(__setattr__)
      210    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
   177/33    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
     1004    0.001    0.000    0.006    0.000 NESemupy.py:990(ADC_ZP)
      791    0.001    0.000    0.005    0.000 NESemupy.py:980(RTS)
      340    0.001    0.000    0.002    0.000 typing.py:168(_type_check)
    208/4    0.001    0.000    0.279    0.070 <frozen importlib._bootstrap>:666(_load_unlocked)
      317    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
     2471    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      201    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
      431    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     1699    0.001    0.000    0.002    0.000 typing.py:1266(_is_dunder)
  635/632    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFF77190FD0}
     1056    0.001    0.000    0.002    0.000 NESemupy.py:484(ORA)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
     1056    0.001    0.000    0.005    0.000 NESemupy.py:724(ORA_ZP)
       28    0.001    0.000    0.002    0.000 inspect.py:863(cleandoc)
     5045    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1008    0.001    0.000    0.005    0.000 NESemupy.py:1164(LDY_ZP)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      179    0.001    0.000    0.006    0.000 typing.py:1376(__init__)
      183    0.001    0.000    0.002    0.000 typing.py:251(_collect_parameters)
        1    0.001    0.001   35.103   35.103 NESemupy.py:2281(init)
      148    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      626    0.001    0.000    0.002    0.000 NESemupy.py:916(EOR_IMM)
      196    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      795    0.001    0.000    0.004    0.000 NESemupy.py:1080(STX_ZP)
      817    0.001    0.000    0.003    0.000 NESemupy.py:456(stack_pull_16)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      317    0.001    0.000    0.004    0.000 function_base.py:497(add_newdoc)
     2081    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1807    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      480    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   259/28    0.001    0.000    0.178    0.006 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      747    0.001    0.000    0.002    0.000 NESemupy.py:911(PHA)
       14    0.001    0.000    0.002    0.000 __init__.py:350(namedtuple)
      363    0.001    0.000    0.001    0.000 NESemupy.py:615(SBC)
    148/5    0.001    0.000    0.279    0.056 <frozen importlib._bootstrap_external>:934(exec_module)
       78    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
